coordinate_x,coordinate_y,coordinate_z,y_probe
70.36,70.36,10.0,439.79
63.96,76.22,10.0,440.0
57.07,81.51,10.0,440.2
49.75,86.17,10.0,440.41
42.05,90.18,10.0,440.54
34.03,93.5,10.0,440.61
25.75,96.11,10.0,440.7
17.28,97.99,10.0,440.74
8.67,99.12,10.0,440.84
0.0,99.5,10.0,440.89
-8.67,99.12,10.0,440.83
-17.28,97.99,10.0,440.8
-25.75,96.11,10.0,440.68
-34.03,93.5,10.0,440.67
-42.05,90.18,10.0,440.49
-49.75,86.17,10.0,440.31
-57.07,81.51,10.0,440.22
-63.96,76.22,10.0,440.07
-70.36,70.36,10.0,439.8
-76.22,63.96,10.0,439.66
-81.51,57.07,10.0,439.46
-86.17,49.75,10.0,439.28
-90.18,42.05,10.0,439.16
-93.5,34.03,10.0,439.02
-96.11,25.75,10.0,438.82
-97.99,17.28,10.0,438.7
-99.12,8.67,10.0,438.68
-99.5,0.0,10.0,438.68
-99.12,-8.67,10.0,438.69
-97.99,-17.28,10.0,438.68
-96.11,-25.75,10.0,438.81
-93.5,-34.03,10.0,438.85
-90.18,-42.05,10.0,439.04
-86.17,-49.75,10.0,439.19
-81.51,-57.07,10.0,439.37
-76.22,-63.96,10.0,439.44
-70.36,-70.36,10.0,439.72
-63.96,-76.22,10.0,439.9
-57.07,-81.51,10.0,440.06
-49.75,-86.17,10.0,440.19
-42.05,-90.18,10.0,440.26
-34.03,-93.5,10.0,440.41
-25.75,-96.11,10.0,440.48
-17.28,-97.99,10.0,440.41
-8.67,-99.12,10.0,440.49
0.0,-99.5,10.0,440.52
8.67,-99.12,10.0,440.44
17.28,-97.99,10.0,440.56
25.75,-96.11,10.0,440.46
34.03,-93.5,10.0,440.45
42.05,-90.18,10.0,440.3
49.75,-86.17,10.0,440.15
57.07,-81.51,10.0,440.01
63.96,-76.22,10.0,439.8
70.36,-70.36,10.0,439.61
76.22,-63.96,10.0,439.41
81.51,-57.07,10.0,439.33
86.17,-49.75,10.0,439.09
90.18,-42.05,10.0,438.96
93.5,-34.03,10.0,438.86
96.11,-25.75,10.0,438.73
97.99,-17.28,10.0,438.61
99.12,-8.67,10.0,438.62
97.98,0.0,20.0,438.27
97.61,8.54,20.0,438.42
96.49,17.01,20.0,438.45
94.64,25.36,20.0,438.55
92.07,33.51,20.0,438.57
88.8,41.41,20.0,438.75
84.85,48.99,20.0,439.02
80.26,56.2,20.0,439.18
75.06,62.98,20.0,439.38
69.28,69.28,20.0,439.62
62.98,75.06,20.0,439.75
56.2,80.26,20.0,439.96
48.99,84.85,20.0,440.06
41.41,88.8,20.0,440.26
33.51,92.07,20.0,440.38
25.36,94.64,20.0,440.51
17.01,96.49,20.0,440.57
8.54,97.61,20.0,440.5
0.0,97.98,20.0,440.56
-8.54,97.61,20.0,440.58
-17.01,96.49,20.0,440.52
-25.36,94.64,20.0,440.42
-33.51,92.07,20.0,440.4
-41.41,88.8,20.0,440.21
-48.99,84.85,20.0,440.13
-56.2,80.26,20.0,439.98
-62.98,75.06,20.0,439.82
-69.28,69.28,20.0,439.65
-75.06,62.98,20.0,439.39
